year,month,product_code,product_name,quantity_tons,import_value,customs_amount
2020,3,1512,նարինջ,1635.7453,431.1145,107.696823
2020,3,1701,ցորեն,10126.67,879.7239,0.0
2020,3,207,բրինձ,1304.5823,384.4347,93.000628
2020,3,405,ալյուր,1087.7412,125.9311,0.599928
2020,3,803,հնդկաձավար,488.0612,98.2935,0.0
2020,3,805,ձեթ,2521.7258,972.4205,1.656589
2020,3,1104,մարգարին,1442.8794,783.7875,48.289999
2020,3,1517,"շաքարավազ, հումք",1991.6389,317.4241,8.07806
2020,3,1901,մանկական սնունդ,38.5089,163.5811,25.50421
2020,3,3004,դեղորայք,208.2482,5517.9106,931.014135
2020,3,2710,բենզին,26896.234,7241.9258,0.0
2020,3,,դիզ. վառելիք,9730.426,3175.576,49.141716
2020,4,1001,թռչնի միս,1810.8063,885.8483,269.224525
2020,4,1006,կարագ,323.8057,794.3791,234.643648
2020,4,1101,բանան,2076.504,708.578,155.218136
2020,4,1512,նարինջ,2518.9159,672.8585,167.248148
2020,4,1701,ցորեն,21667.68,2088.7074,0.0
2020,4,207,բրինձ,1028.2873,302.9138,58.774754
2020,4,405,ալյուր,2821.437,374.2085,0.151719
2020,4,803,հնդկաձավար,382.1255,65.0233,0.021654
2020,4,805,ձեթ,4348.4663,1735.2417,10.224885
2020,4,1104,մարգարին,2631.4509,1434.1167,119.489025
2020,4,1517,"շաքարավազ, հումք",3687.2762,560.8241,0.314027
2020,4,1901,մանկական սնունդ,44.8313,141.4858,9.957099
2020,4,3004,դեղորայք,289.1129,6429.8269,830.916344
2020,4,2710,բենզին,14671.579,2067.1655,0.0
2020,4,,դիզ. վառելիք,10344.74,2037.1124,12.115582
2020,6,1001,թռչնի միս,1219.2868,533.57,165.885178
2020,6,1006,կարագ,359.0994,807.2775,232.184171
2020,6,1101,բանան,1974.6747,602.3844,149.347588
2020,6,1512,նարինջ,4.09,0.9642,0.192832
2020,6,1701,ցորեն,3613.55,287.1583,0.0
2020,6,207,բրինձ,1361.2472,447.1747,88.680503
2020,6,405,ալյուր,1020.4172,132.7421,0.026535
2020,6,803,հնդկաձավար,471.08500000000004,158.7587,0.679072
2020,6,805,ձեթ,1253.8461,529.6967,3.407916
2020,6,1104,մարգարին,1556.3218,765.6252,66.581337
2020,6,1517,"շաքարավազ, հումք",4454.0493,737.3836,0.188328
2020,6,1901,մանկական սնունդ,30.4867,123.0996,18.624287
2020,6,3004,դեղորայք,164.582,4156.9848,585.762516
2020,6,2710,բենզին,15225.379,3546.3219,0.0
2020,6,,դիզ. վառելիք,29222.32,6080.7416,919.652532
2020,7,1001,թռչնի միս,2263.4454,1104.9115,438.971246
2020,7,1006,կարագ,427.8497,1036.0767,334.314842
2020,7,1101,բանան,1690.5883,482.4731,115.804996
2020,7,1512,նարինջ,0.0,0.0,0.0
2020,7,1701,ցորեն,27639.294,2428.3814,0.0
2020,7,207,բրինձ,626.8911,182.7296,32.625084
2020,7,405,ալյուր,1992.6449,244.9,0.054342
2020,7,803,հնդկաձավար,270.8678,76.7368,0.054342
2020,7,805,ձեթ,1543.9226,682.1011,7.622258
2020,7,1104,մարգարին,1467.839,717.1746,53.672653
2020,7,1517,"շաքարավազ, հումք",5137.0937,862.8433,7.108656
2020,7,1901,մանկական սնունդ,59.1585,220.1815,27.148763
2020,7,3004,դեղորայք,385.5122,6587.8433,750.013087
2020,7,2710,բենզին,14008.502,3253.4665,
2020,7,,դիզ. վառելիք,29055.562,5875.4204,1003.566723
2020,8,1001,թռչնի միս,1741.5473,783.8241,309.383218
2020,8,1006,կարագ,459.6949,1081.7507,320.330418
2020,8,1101,բանան,1525.5695,427.7896,93.660604
2020,8,1512,նարինջ,34.163,11.7126,1.239259
2020,8,1701,ցորեն,54489.316,5115.3385,0.0
2020,8,207,բրինձ,600.5141,173.1742,34.791411
2020,8,405,ալյուր,2523.0484,314.7196,0.262857
2020,8,803,հնդկաձավար,386.3931,105.8827,0.0
2020,8,805,ձեթ,2057.5813,900.9946,11.12838
2020,8,1104,մարգարին,1246.4609,609.7509,36.064259
2020,8,1517,"շաքարավազ, հումք",1131.3461,201.7512,0.312528
2020,8,1901,մանկական սնունդ,36.6483,110.302,0.0
2020,8,3004,դեղորայք,183.2812,4466.9674,756.423543
2020,8,2710,բենզին,21752.629,5573.8571,153.395671
2020,8,,դիզ. վառելիք,17470.072,4002.1926,577.233467
