period_label,year_from,year_to,product_code,product_name,unit,quantity_from,value_from,quantity_to,value_to
2020-2021,2020,2021,2004,Այլ բանջարեղեն պահածոյացված ոչ քացախով` սառեցրած,տոննա,197.8,315.3,186.9,260.5
2020-2021,2020,2021,2005,Այլ բանջարեղեն պահածոյացված ոչ քացախով` չսառեցրած,տոննա,10743.5,11303.2,14352.4,14960.4
2020-2021,2020,2021,2006,"Բանջարեղեն, մրգեր, ընկուզեղեն պահածոյացված շաքարով",տոննա,99.1,235.9,132.7,108.2
2020-2021,2020,2021,2007,"Ջեմ, մարմելադ, մրգախյուս",տոննա,2575.0,2702.4,3207.2,3710.5
2020-2021,2020,2021,2008,"Այլ կերպ պահածոյացված միրգ, ընկուզեղեն, հատապտուղ",տոննա,9030.0,10560.2,11153.6,11857.6
2020-2021,2020,2021,2009,Մրգահյութեր եւ բանջարեղենի հյութեր,տոննա,3145.4,2819.4,5578.6,5559.5
2020-2021,2020,2021,2101,"Սուրճի, թեյի կամ մատեի խտահյութ, բնահյութ",տոննա,237.5,751.7,87.1,390.2
2020-2021,2020,2021,2102,Խմորիչներ; թթխմոր,կգ,12580.0,24.9,137.5,5.5
2020-2021,2020,2021,2103,Սոուս պատրաստելու մթերք եւ պատրաստի սոուս; մանանեխ,տոննա,1772.1,2068.0,1958.7,2299.5
2020-2021,2020,2021,2104,Պատրաստի սուպ եւ արգանակ եւ պատրաստուկներ դրանք պատրաստելու,տոննա,20.5,57.9,178.6,459.8
2020-2021,2020,2021,2105,Պաղպաղակ եւ սննդային սառույցի այլ տեսակ,տոննա,179.6,460.5,204.5,552.7
2020-2021,2020,2021,2106,Սննդամթերք; այլ տեղերում չնշված,լ.100%սպ.,0.0,0.0,144.0,0.1
2020-2021,2020,2021,2106,Սննդամթերք; այլ տեղերում չնշված,տոննա,425.0,2885.7,402.7,3570.9
2020-2021,2020,2021,2201,"Ջրեր` բնական կամ արհեստական հանքային, գազավորած, չքաղցրացրած; սառույց եւ ձյուն",հազ.լ,19889.2,9412.7,24506.7,13196.3
2020-2021,2020,2021,2202,"Ջրեր` հանքային եւ գազավորած` քաղցրացրած, այլ ոչ ալկոհոլային խմիչք",հազ.լ,5153.5,3623.5,7409.0,5287.1
2020-2021,2020,2021,2203,Գարեջուր ածիկային,հազ.լ,1096.2,901.0,1502.9,1511.8
2020-2021,2020,2021,2204,Գինի խաղողի` բնական,հազ.լ,2600.9,8527.1,3061.0,10900.7
2020-2021,2020,2021,2206,"Խմորման ենթարկված այլ ըմպելիք (խնձորի, տանձի սիդր, մեղրաըմպելիք)",հազ.լ,4656.8,10463.5,5498.0,12527.0
2020-2021,2020,2021,2207,"Էթիլային սպիրտ` չբնափոխած, >=80 ծավ.% սպիրտի խտությամբ եւ այլ սպիրտային թուրմ` բնափոխած",հազ.լ,4770.1,4630.7,819.1,778.1
2020-2021,2020,2021,2208,"Էթիլային սպիրտ, չբնափոխած, <80 ծավ.% սպիրտի խտությամբ; սպիրտային թուրմ, լիկյոր եւ այլ սպիրտային ըմպելիք",հազ.լ100%սպ,23530.4,201806.8,29695.1,242397.2
2020-2021,2020,2021,2209,Քացախ եւ նրա փոխարինիչ,լիտր,2443.3,11.5,168.4,1.6
2020-2021,2020,2021,2306,Կոպտոն եւ այլ կոշտ թափոն`այլ բուսա -ճարպերի կամ -յուղերի հյութազտումից,տոննա,1.0,0.6,1.5,0.9
2020-2021,2020,2021,2308,"Բուսական ծագման այլ մթերք եւ թափոն - անասնակեր, այլ տեղում չնշած",կգ,0.0,0.0,580.0,3.0
2020-2021,2020,2021,2309,Կենդանիների կեր,տոննա,517.6,1174.8,1502.3,2210.0
2020-2021,2020,2021,2401,Ծխախոտի հումք; թափոններ,կգ,1.4,0.0,12200.0,4.9
2020-2021,2020,2021,2402,"Սիգար, սիգարիլլա, սիգարետ",մլն հատ,24433.3,241142.0,21916.9,237824.8
2020-2021,2020,2021,2403,Ծխախոտի այլ պատրաստուկ  եւ փոխարինիչ; խտահյութ,տոննա,320.2,15174.5,120.7,10657.6
2020-2021,2020,2021,2501,Աղ եւ նատրիումի քլորիդ; ծովի ջուր,տոննա,179.1,67.0,377.1,78.9
2020-2021,2020,2021,2505,"Ավազ, ոչ 26 խմբի մետաղաբեր ավազ",կգ,300.4,0.4,60.0,0.0
2020-2021,2020,2021,2508,"Կավեր այլ (բացի 6806 դիրքի փքուն կավեր), անդալուզիտ, կիանիտ, սիլիմանիտ; մուլիտ; հողեր",տոննա,19469.6,3141.2,18550.8,2567.8
2020-2021,2020,2021,2512,Հողեր ինֆուզորային սիլիկային,տոննա,1592.7,1203.0,1477.9,1140.5
2020-2021,2020,2021,2513,"Չեչաքար; նաժդակ; բնական կորունդ, նռնաքար եւ այլ բնական հղկանյութ",տոննա,20.2,3.5,44.4,11.5
2020-2021,2020,2021,2515,"Մարմար, տրավերտին կամ կրաքարային տուֆ եւ այլ կրաքար",տոննա,2258.2,273.7,2757.2,180.2
2020-2021,2020,2021,2516,"Գրանիտ, ծիրանաքար, բազալտ, ավազաքար",տոննա,560.1,47.1,537.5,124.7
2020-2021,2020,2021,2517,"Գետաքար, մանրախիճ, կայծքար; մակադամ խարամից",կգ,55923.8,6.8,208.0,0.0
2020-2021,2020,2021,2520,Գիպս,տոննա,234.6,23.7,195.9,21.3
2020-2021,2020,2021,2522,"Կիր չհանգած, հանգած եւ հիդրավլիկ",կգ,0.0,0.0,324.0,0.8
2020-2021,2020,2021,2523,Ցեմենտ,կգ,0.0,0.0,230.0,0.0
2020-2021,2020,2021,2526,Ստեատիտ բնական; տալկ,կգ,4.3,0.0,0.0,0.0
2020-2021,2020,2021,2530,"Հանքանյութեր, այլ տեղում չնշած",տոննա,61146.4,2248.8,87075.0,3359.5
2020-2021,2020,2021,2603,Հանքաքար եւ խտահանք պղնձի,տոննա,509814.7,604411.4,429483.2,769257.8
2020-2021,2020,2021,2608,Հանքաքար եւ խտահանք ցինկի,տոննա,13486.9,12897.4,11998.4,16165.2
2020-2021,2020,2021,2613,Հանքաքար եւ խտահանք մոլիբդենի,տոննա,16337.3,103707.5,10233.4,122316.9
2020-2021,2020,2021,2616,Հանքաքար եւ խտահանք թանկարժեք մետաղի,տոննա,6118.9,12382.2,6054.5,15466.0
2020-2021,2020,2021,2617,Հանքաքարեր եւ խտահանքեր այլ,կգ,0.0,0.0,196.2,0.1
2020-2021,2020,2021,2620,"Խարամ, մոխիր եւ մնացորդ` ոչ սեւ մետաղի արտադրությունից",տոննա,97.5,17.5,0.0,0.0
2020-2021,2020,2021,2703,Տորֆ,տոննա,17016.5,1209.8,6971.9,297.5
2020-2021,2020,2021,2710,Նավթ եւ նավթամթերք` ոչ հում,տոննա,786.3,334.2,401.1,302.1
2020-2021,2020,2021,2711,Գազ բնական եւ հեղուկ,կգ,0.0,0.0,8.3,0.3
2020-2021,2020,2021,2711,Գազ բնական եւ հեղուկ,հազ.խմ,19264.7,3178.7,0.0,0.0
2020-2021,2020,2021,2713,"Կոքս, բիտում եւ նավթամթերքի վերամշակումից այլ մնացորդ",կգ,952530.0,194.6,5.0,0.0
2020-2021,2020,2021,2714,Բիտում եւ ասֆալտ` բնական; ասֆալտիտ,կգ,0.0,0.0,31.5,0.0
2020-2021,2020,2021,2715,"Խառնուրդ բիտումի, ասֆալտի, հանքաձյութերի",կգ,222.5,0.3,722.5,0.9
2020-2021,2020,2021,2716,Էլեկտրաէներգիա,մլն կվտ/ժ,1360.0,72200.7,801.8,41775.9
2020-2021,2020,2021,2808,Ազոտական թթու; սուլֆազոտական թթուներ,կգ,168.0,0.1,0.0,0.0
2020-2021,2020,2021,2810,Բորի օքսիդ; բորաթթուներ,կգ,25.0,0.1,0.0,0.0
2020-2021,2020,2021,2811,Այլ անօրգանական թթուներ եւ ոչ մետաղների այլ անօրգանական թթվածնային միացություններ,տոննա,1921.0,351.5,3316.5,704.4
2020-2021,2020,2021,2814,Ամոնիակ,տոննա,4.7,27.4,0.0,0.0
2020-2021,2020,2021,2815,"Նատրիումի կամ կալիումի հիդրօքսիդ, պերօքսիդ",տոննա,3.0,2.6,0.0,0.0
2020-2021,2020,2021,2817,Ցինկի օքսիդ; պերօքսիդ,տոննա,16.0,53.8,23.0,78.3
2020-2021,2020,2021,2818,"Արհեստական կորունդ; ալյումինի օքսիդ, հիդրօքսիդ",կգ,0.0,0.0,0.0,0.0
2020-2021,2020,2021,2819,Քրոմի օքսիդ եւ հիդրօքսիդ,կգ,150.0,1.1,0.0,0.0
2020-2021,2020,2021,2825,"Հիդրազին եւ հիդրօքսիլամին, դրանց անօրգանական աղերը; այլ անօրգանական հիմքեր; մետաղների այլ օքսիդներ, հիդրօքսիդներ եւ պերօքսիդներ",տոննա,294.6,315.2,299.1,515.4
2020-2021,2020,2021,2827,"Քլորիդ, քլորիդ -օքսիդ, -հիդրօքսիդ; բրոմիդ եւ բրոմիդօքսիդ; յոդիդ եւ յոդիդօքսիդ",կգ,750.0,15.4,400.0,19.3
2020-2021,2020,2021,2828,"Քլորիտ, հիպո -քլորիտ, -բրոմիտ",տոննա,0.0,0.0,21.6,17.0
2020-2021,2020,2021,2833,Սուլֆատներ; շիբեր; պերօքսոսուլֆատներ (պերսուլֆատներ),կգ,207.6,1.6,120.0,0.6
2020-2021,2020,2021,2835,"Ֆոսֆինատներ, ֆոսֆոնատներ (ֆոսֆիտներ), ֆոսֆատներ, բազմաֆոսֆատներ",կգ,361.0,4.0,0.0,0.0
2020-2021,2020,2021,2836,Կարբոնատներ; պերկարբոնատներ,տոննա,86.0,609.8,71.2,483.6
2020-2021,2020,2021,2839,Սիլիկատներ; ալկալիական մետաղների սիլիկատներ,կգ,0.0,0.0,160.0,0.1
2020-2021,2020,2021,2841,Օքսոմետաղական եւ պերօքսոմետաղական թթուների աղեր,կգ,91100.0,173.4,200.0,85.3
2020-2021,2020,2021,2843,Թանկարժեք մետաղներ կոլոիդային վիճակում եւ նրա ամալգամներ,կգ,242.3,14.3,3.2,4.8
2020-2021,2020,2021,2847,Ջրածնի պերօքսիդ,կգ(H),0.0,0.0,3.6,7.9
2020-2021,2020,2021,2853,"Այլ անօրգանական միացություններ; հեղուկ; խտացրած օդ; ամալգամներ, ոչ թանկարժեք մետաղների",կգ,688.0,1.0,0.0,0.0
2020-2021,2020,2021,2902,Ածխաջրածիններ ցիկլային,կգ,1.4,4.9,0.0,0.0
2020-2021,2020,2021,2903,Հալոգենացված ածանցյալներ ածխաջրածինների,կգ,9.6,9.2,137.1,11.4
2020-2021,2020,2021,2904,"Ածխաջրածիների սուլֆացված, նիտրացված կամ նիտրոնացված ածանցյալներ",կգ,1.5,3.2,0.0,0.0
2020-2021,2020,2021,2905,Սպիրտներ ապացիկլային եւ դրանց ածանցյալներ,կգ,2080.0,1.3,1.7,0.9
2020-2021,2020,2021,2906,Սպիրտներ ցիկլային եւ դրանց ածանցյալներ,կգ,0.0,0.0,0.0,0.0
2020-2021,2020,2021,2907,Ֆենոլներ; ֆենոլասպիրտներ,կգ,0.0,0.0,1.5,0.1
2020-2021,2020,2021,2909,"Պարզ եթեր, եթերա -սպիրտ, -ֆենոլ, սպիրտաֆենոլ եւ դրանց ածանցյալներ",կգ,0.1,1.0,30.0,9.0
2020-2021,2020,2021,2910,"Էպոքսիդ, էպոքսի -սպիրտ, -ֆենոլ եւ -եթեր եւ դրանց ածանցյալներ",կգ,0.0,0.0,229.0,8.5
2020-2021,2020,2021,2911,Ացետալներ եւ կիսաացետալներ եւ դրանց ածանցյալներ,կգ,0.0,0.0,0.3,1.5
2020-2021,2020,2021,2912,Ալդեհիդներ; ալդեհիդների ցիկլիկ պոլիմերներ; պարաֆորմալդեհիդներ,կգ,0.1,0.7,1.5,0.0
2020-2021,2020,2021,2914,Կետոններ եւ խինոններ եւ դրանց ածանցյալներ,կգ,0.3,1.1,1.6,11.3
2020-2021,2020,2021,2915,Թթուներ ոչ պարբերական միակարբոն հագեցած եւ դրանց ածանցյալներ,կգ,114.0,3.3,2.2,5.8
